Ticker,Max Weight Count
AAPL,108
AMD,107
TSLA,103
AMZN,101
META,85
NVDA,79
MSFT,49
GOOGL,48
GME,44
PLTR,42
SOFI,36
DIS,33
COIN,28
BA,25
SQ,24
MU,23
MSTR,19
INTC,18
SMCI,16
NFLX,16
AMC,15
ASTS,13
GILD,13
VRX,13
HOOD,12
PYPL,11
SNAP,11
ROKU,11
DKNG,11
LCID,10
BB,10
MRNA,7
HIMS,7
NVAX,6
PLUG,6
SPCE,6
BAC,6
F,6
MARA,6
GE,6
DJT,5
CGC,5
RIVN,5
UNH,5
PTON,5
ZM,5
CHK,5
ABBV,4
PFE,4
RKT,3
WMT,3
UA,2
PARA,2
NKE,2
VIAC,2
X,2
GM,2
U,2
CELG,2
AA,2
ACB,2
WISH,2
ATVI,2
NBIS,2
OPEN,2
COST,2
S,2
AAL,2
BMY,2
AVGO,2
ZETA,1
V,1
OPK,1
ORCL,1
SOUN,1
SIRI,1
CELH,1
RKLB,1
IREN,1
APLD,1
KMI,1
UBER,1
MON,1
TGT,1
STX,1
SHOP,1
JPM,1
FSLY,1
MRO,1
QCOM,1
NKLA,1
DFS,1
BHC,1
COP,1
T,1
NTNX,1
FSR,1
AFRM,1
AGN,1
WORK,1
SCHW,1
RGTI,1
