Rebalance_date,Monthly_Turnover_Rate_Percent
2016-09-15,20.07
2016-10-20,36.9
2016-11-17,16.69
2016-12-15,16.99
2017-01-19,18.36
2017-02-16,16.22
2017-03-16,15.7
2017-04-20,27.67
2017-05-18,16.1
2017-06-15,19.55
2017-07-20,27.26
2017-08-17,21.68
2017-09-21,23.22
2017-10-19,22.14
2017-11-16,23.15
2017-12-21,22.68
2018-01-18,27.47
2018-02-15,30.12
2018-03-15,37.3
2018-04-19,36.26
2018-05-17,30.3
2018-06-21,26.89
2018-07-19,29.88
2018-08-16,28.1
2018-09-20,30.63
2018-10-18,29.25
2018-11-15,27.33
2018-12-20,34.92
2019-01-17,40.74
2019-02-21,37.35
2019-03-21,35.24
2019-04-18,34.0
2019-05-16,23.98
2019-06-20,21.87
2019-07-18,23.17
2019-08-15,23.22
2019-09-19,35.85
2019-10-17,33.27
2019-11-21,28.68
2019-12-19,27.24
2020-01-16,27.7
2020-02-20,24.39
2020-03-19,41.51
2020-04-16,50.82
2020-05-21,29.25
2020-06-18,29.01
2020-07-16,32.03
2020-08-20,26.13
2020-09-17,23.99
2020-10-15,24.81
2020-11-19,22.47
2020-12-17,20.54
2021-01-21,22.7
2021-02-18,21.52
2021-03-18,20.1
2021-04-15,32.01
2021-05-20,18.29
2021-06-17,24.45
2021-07-15,27.57
2021-08-19,19.31
2021-09-16,18.21
2021-10-21,25.95
2021-11-18,22.54
2021-12-16,21.77
2022-01-20,18.37
2022-02-17,23.06
2022-03-17,25.57
2022-04-21,25.07
2022-05-19,21.14
2022-06-16,21.22
2022-07-21,22.32
2022-08-18,19.68
2022-09-15,19.79
2022-10-20,22.66
2022-11-17,16.55
2022-12-15,20.39
2023-01-19,20.14
2023-02-16,14.19
2023-03-16,20.19
2023-04-20,25.08
2023-05-18,29.97
2023-06-15,29.56
2023-07-20,17.79
2023-08-17,17.35
2023-09-21,18.07
2023-10-19,22.93
2023-11-16,19.55
2023-12-21,22.23
2024-01-18,20.67
2024-02-15,22.49
2024-03-21,22.84
2024-04-18,21.13
2024-05-16,20.85
2024-06-20,23.83
2024-07-18,33.7
2024-08-15,21.58
2024-09-19,36.85
2024-10-17,24.71
2024-11-21,24.7
2024-12-19,25.71
2025-01-16,29.54
2025-02-20,22.27
2025-03-20,20.13
2025-04-17,15.87
2025-05-15,16.4
2025-06-18,16.43
2025-07-17,17.45
2025-08-21,16.49
2025-09-18,19.28
2025-10-16,32.58
2025-11-20,15.22
